year,authors,is_my_paper,title,journal,volume,issue,page,doi,abstract,type,has_doi
2022,"Oliver Eales, Kylie E.C. Ainslie, Caroline E. Walters, et al.",YES,Appropriately smoothing prevalence data to inform estimates of growth rate and reproduction number,Epidemics,40,,100604,10.1016/j.epidem.2022.100604,,journal-article,YES
2022,Kylie E.C. Ainslie and Steven Riley,YES,Is annual vaccination best? A modelling study of influenza vaccination strategies in children,Vaccine,40,21,2940-2948,10.1016/j.vaccine.2022.03.065,,journal-article,YES
2022,"Marc Chadeau-Hyam, Haowei Wang, Oliver Eales, et al.",YES,SARS-CoV-2 infection and vaccine effectiveness in England (REACT-1): a series of cross-sectional random community surveys,The Lancet Respiratory Medicine,10,4,355-366,10.1016/s2213-2600(21)00542-7,,journal-article,YES
2022,"Oliver Eales, Caroline E. Walters, Haowei Wang, et al.",YES,Characterising the persistence of RT-PCR positivity and incidence in a community survey of SARS-CoV-2,Wellcome Open Research,7,,102,10.12688/wellcomeopenres.17723.1,"<ns4:p><ns4:bold>Background:</ns4:bold>The REal-time Assessment of Community Transmission-1 (REACT-1) study has provided unbiased estimates of swab-positivity in England approximately monthly since May 2020 using RT-PCR testing of self-administered throat and nose swabs. However, estimating infection incidence requires an understanding of the persistence of RT-PCR swab-positivity in the community.</ns4:p><ns4:p><ns4:bold>Methods:</ns4:bold>During round 8 of REACT-1 from 6 January to 22 January 2021, we collected up to two additional swabs from 896 initially RT-PCR positive individuals approximately 6 and 9 days after their initial swab.</ns4:p><ns4:p><ns4:bold>Results:</ns4:bold>Test sensitivity and duration of positivity were estimated using an exponential decay model, for all participants and for subsets by initial N-gene cycle threshold (Ct) value, symptom status, lineage and age. A P-spline model was used to estimate infection incidence for the entire duration of the REACT-1 study. REACT-1 test sensitivity was estimated at 0.79 (0.77, 0.81) with median duration of positivity at 9.7 (8.9, 10.6) days. We found greater duration of positivity in those exhibiting symptoms, with low N-gene Ct values, or infected with the Alpha variant. Test sensitivity was found to be higher for those who were pre-symptomatic or with low N-gene Ct values. Compared to swab-positivity, our estimates of infection incidence included sharper features with evident transient increases around the time of changes in social distancing measures.</ns4:p><ns4:p><ns4:bold>Conclusions:</ns4:bold>These results validate previous efforts to estimate incidence of SARS-CoV-2 from swab-positivity data and provide a reliable means to obtain community infection estimates to inform policy response.</ns4:p>",journal-article,YES
2021,"Paul Elliott, David Haw, Haowei Wang, et al.",YES,"Exponential growth, high prevalence of SARS-CoV-2, and vaccine effectiveness associated with the Delta variant",Science,374,6574,,10.1126/science.abl9551,"<jats:title>Vaccination and disease</jats:title> The United Kingdom has high rates of vaccination for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), exceeding 80% of adults. As immunity wanes and social distancing is relaxed, how are rates of illness and severe disease affected by more infectious variants? Elliott et al . used reverse transcription PCR data from the REACT-1 study, which showed exponential transmission as the Alpha variant (B.1.1.7) was replaced by the Delta variant (B.1.617.2). After adjusting for age and other variables, vaccine effectiveness for the new variant averaged 55% in June and July of 2020. Despite the slower growth of the pandemic in the summer, it looks as if increased indoor mixing in the autumn will sustain transmission of the Delta variant despite high levels of adult vaccination. —CA",journal-article,YES
2021,"Fuminari Miura, Ka Yin Leung, Don Klinkenberg, Kylie E. C. Ainslie, and Jacco Wallinga",YES,Optimal vaccine allocation for COVID-19 in the Netherlands: A data-driven prioritization,PLOS Computational Biology,17,12,e1009697,10.1371/journal.pcbi.1009697,"For the control of COVID-19, vaccination programmes provide a long-term solution. The amount of available vaccines is often limited, and thus it is crucial to determine the allocation strategy. While mathematical modelling approaches have been used to find an optimal distribution of vaccines, there is an excessively large number of possible allocation schemes to be simulated. Here, we propose an algorithm to find a near-optimal allocation scheme given an intervention objective such as minimization of new infections, hospitalizations, or deaths, where multiple vaccines are available. The proposed principle for allocating vaccines is to target subgroups with the largest reduction in the outcome of interest. We use an approximation method to reconstruct the age-specific transmission intensity (the next generation matrix), and express the expected impact of vaccinating each subgroup in terms of the observed incidence of infection and force of infection. The proposed approach is firstly evaluated with a simulated epidemic and then applied to the epidemiological data on COVID-19 in the Netherlands. Our results reveal how the optimal allocation depends on the objective of infection control. In the case of COVID-19, if we wish to minimize deaths, the optimal allocation strategy is not efficient for minimizing other outcomes, such as infections. In simulated epidemics, an allocation strategy optimized for an outcome outperforms other strategies such as the allocation from young to old, from old to young, and at random. Our simulations clarify that the current policy in the Netherlands (i.e., allocation from old to young) was concordant with the allocation scheme that minimizes deaths. The proposed method provides an optimal allocation scheme, given routine surveillance data that reflect ongoing transmissions. This approach to allocation is useful for providing plausible simulation scenarios for complex models, which give a more robust basis to determine intervention strategies.",journal-article,YES
2021,"Michael Haber, Jacqueline E. Tate, Benjamin A. Lopman, Wenrui Qi, Kylie E. C. Ainslie, and Umesh D. Parashar",YES,Comparing statistical methods for detecting and estimating waning efficacy of rotavirus vaccines in developing countries,Human Vaccines &amp; Immunotherapeutics,17,11,4632-4635,10.1080/21645515.2021.1968738,,journal-article,YES
2021,"Steven Riley, Kylie E. C. Ainslie, Oliver Eales, et al.",YES,Resurgence of SARS-CoV-2: Detection by community viral surveillance,Science,372,6545,990-995,10.1126/science.abf0874,"<jats:title>Community virus surveillance</jats:title> Even highly effective vaccines will not save us from the need to monitor severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) activity, perhaps for years to come. Public health institutions will need early warning of any uptick in cases to prepare and deploy interventions as required. Riley et al. developed a community-wide program that was designed to detect resurgence at low prevalence and has been used to track SARS-CoV-2 virus across England. In the four rounds of sampling from May to September 2020, almost 600,000 people representative of all communities were monitored. The results revealed the greatest prevalence among 18- to 24-year-olds, with increasing incidence among older age groups and elevated odds of infection among some communities. This testing approach offers a model for the type of real-time, country-wide population-based surveillance work that needs to be conducted to monitor SARS-CoV-2. Science , abf0874, this issue p. <jats:related-article issue=""6545"" page=""990"" related-article-type=""in-this-issue"" vol=""372"">990</jats:related-article>",journal-article,YES
2021,"Helen Ward, Graham S. Cooke, Christina Atchison, et al.",YES,"Prevalence of antibody positivity to SARS-CoV-2 following the first peak of infection in England: Serial cross-sectional studies of 365,000 adults",The Lancet Regional Health - Europe,4,,100098,10.1016/j.lanepe.2021.100098,,journal-article,YES
2021,"Pierre Nouvellet, Sangeeta Bhatia, Anne Cori, et al.",YES,Reduction in mobility and COVID-19 transmission,Nature Communications,12,1,,10.1038/s41467-021-21358-2,"<jats:title>Abstract</jats:title>In response to the COVID-19 pandemic, countries have sought to control SARS-CoV-2 transmission by restricting population movement through social distancing interventions, thus reducing the number of contacts. Mobility data represent an important proxy measure of social distancing, and here, we characterise the relationship between transmission and mobility for 52 countries around the world. Transmission significantly decreased with the initial reduction in mobility in 73% of the countries analysed, but we found evidence of decoupling of transmission and mobility following the relaxation of strict control measures for 80% of countries. For the majority of countries, mobility explained a substantial proportion of the variation in transmissibility (median adjusted R-squared: 48%, interquartile range - IQR - across countries [27–77%]). Where a change in the relationship occurred, predictive ability decreased after the relaxation; from a median adjusted R-squared of 74% (IQR across countries [49–91%]) pre-relaxation, to a median adjusted R-squared of 30% (IQR across countries [12–48%]) post-relaxation. In countries with a clear relationship between mobility and transmission both before and after strict control measures were relaxed, mobility was associated with lower transmission rates after control measures were relaxed indicating that the beneficial effects of ongoing social distancing behaviours were substantial.",journal-article,YES
2021,"Helen Ward, Christina Atchison, Matthew Whitaker, et al.",YES,SARS-CoV-2 antibody prevalence in England following the first peak of the pandemic,Nature Communications,12,1,,10.1038/s41467-021-21237-w,"<jats:title>Abstract</jats:title>England has experienced a large outbreak of SARS-CoV-2, disproportionately affecting people from disadvantaged and ethnic minority communities. It is unclear how much of this excess is due to differences in exposure associated with structural inequalities. Here, we report from the REal-time Assessment of Community Transmission-2 (REACT-2) national study of over 100,000 people. After adjusting for test characteristics and re-weighting to the population, overall antibody prevalence is 6.0% (95% CI: 5.8-6.1). An estimated 3.4 million people had developed antibodies to SARS-CoV-2 by mid-July 2020. Prevalence is two- to three-fold higher among health and care workers compared with non-essential workers, and in people of Black or South Asian than white ethnicity, while age- and sex-specific infection fatality ratios are similar across ethnicities. Our results indicate that higher hospitalisation and mortality from COVID-19 in minority ethnic groups may reflect higher rates of infection rather than differential experience of disease or care.",journal-article,YES
2021,"Han Fu, Haowei Wang, Xiaoyue Xi, et al.",YES,Database of epidemic trends and control measures during the first wave of COVID-19 in mainland China,International Journal of Infectious Diseases,102,,463-471,10.1016/j.ijid.2020.10.075,,journal-article,YES
2020,"H. Juliette T. Unwin, Swapnil Mishra, Valerie C. Bradley, et al.",YES,State-level tracking of COVID-19 in the United States,Nature Communications,11,1,,10.1038/s41467-020-19652-6,"<jats:title>Abstract</jats:title>As of 1st June 2020, the US Centres for Disease Control and Prevention reported 104,232 confirmed or probable COVID-19-related deaths in the US. This was more than twice the number of deaths reported in the next most severely impacted country. We jointly model the US epidemic at the state-level, using publicly available death data within a Bayesian hierarchical semi-mechanistic framework. For each state, we estimate the number of individuals that have been infected, the number of individuals that are currently infectious and the time-varying reproduction number (the average number of secondary infections caused by an infected person). We use changes in mobility to capture the impact that non-pharmaceutical interventions and other behaviour changes have on the rate of transmission of SARS-CoV-2. We estimate that R<jats:sub>t</jats:sub> was only below one in 23 states on 1st June. We also estimate that 3.7% [3.4%–4.0%] of the total population of the US had been infected, with wide variation between states, and approximately 0.01% of the population was infectious. We demonstrate good 3 week model forecasts of deaths with low error and good coverage of our credible intervals.",journal-article,YES
2020,"Amy Dighe, Lorenzo Cattarino, Gina Cuomo-Dannenburg, et al.",YES,Response to COVID-19 in South Korea and implications for lifting stringent interventions,BMC Medicine,18,1,,10.1186/s12916-020-01791-8,"<jats:title>Abstract</jats:title><jats:sec> <jats:title>Background</jats:title> After experiencing a sharp growth in COVID-19 cases early in the pandemic, South Korea rapidly controlled transmission while implementing less stringent national social distancing measures than countries in Europe and the USA. This has led to substantial interest in their “test, trace, isolate” strategy. However, it is important to understand the epidemiological peculiarities of South Korea’s outbreak and characterise their response before attempting to emulate these measures elsewhere. </jats:sec><jats:sec> <jats:title>Methods</jats:title> We systematically extracted numbers of suspected cases tested, PCR-confirmed cases, deaths, isolated confirmed cases, and numbers of confirmed cases with an identified epidemiological link from publicly available data. We estimated the time-varying reproduction number, R<jats:sub>t</jats:sub>, using an established Bayesian framework, and reviewed the package of interventions implemented by South Korea using our extracted data, plus published literature and government sources. </jats:sec><jats:sec> <jats:title>Results</jats:title> We estimated that after the initial rapid growth in cases, R<jats:sub>t</jats:sub> dropped below one in early April before increasing to a maximum of 1.94 (95%CrI, 1.64–2.27) in May following outbreaks in Seoul Metropolitan Region. By mid-June, R<jats:sub>t</jats:sub> was back below one where it remained until the end of our study (July 13th). Despite less stringent “lockdown” measures, strong social distancing measures were implemented in high-incidence areas and studies measured a considerable national decrease in movement in late February. Testing the capacity was swiftly increased, and protocols were in place to isolate suspected and confirmed cases quickly; however, we could not estimate the delay to isolation using our data. Accounting for just 10% of cases, individual case-based contact tracing picked up a relatively minor proportion of total cases, with cluster investigations accounting for 66%. </jats:sec><jats:sec> <jats:title>Conclusions</jats:title> Whilst early adoption of testing and contact tracing is likely to be important for South Korea’s successful outbreak control, other factors including regional implementation of strong social distancing measures likely also contributed. The high volume of testing and the low number of deaths suggest that South Korea experienced a small epidemic relative to other countries. Caution is needed in attempting to replicate the South Korean response in populations with larger more geographically widespread epidemics where finding, testing, and isolating cases that are linked to clusters may be more difficult. </jats:sec>",journal-article,YES
2020,"Kylie E. C. Ainslie, Caroline E. Walters, Han Fu, et al.",YES,Evidence of initial success for China exiting COVID-19 social distancing policy after achieving containment,Wellcome Open Research,5,,81,10.12688/wellcomeopenres.15843.2,"<ns3:p><ns3:bold>Background</ns3:bold>: The COVID-19 epidemic was declared a Global Pandemic by WHO on 11 March 2020. By 24 March 2020, over 440,000 cases and almost 20,000 deaths had been reported worldwide. In response to the fast-growing epidemic, which began in the Chinese city of Wuhan, Hubei, China imposed strict social distancing in Wuhan on 23 January 2020 followed closely by similar measures in other provinces. These interventions have impacted economic productivity in China, and the ability of the Chinese economy to resume without restarting the epidemic was not clear.</ns3:p><ns3:p> <ns3:bold>Methods</ns3:bold>: Using daily reported cases from mainland China and Hong Kong SAR, we estimated transmissibility over time and compared it to daily within-city movement, as a proxy for economic activity.</ns3:p><ns3:p> <ns3:bold>Results</ns3:bold>: Initially, within-city movement and transmission were very strongly correlated in the five mainland provinces most affected by the epidemic and Beijing. However, that correlation decreased rapidly after the initial sharp fall in transmissibility. In general, towards the end of the study period, the correlation was no longer apparent, despite substantial increases in within-city movement. A similar analysis for Hong Kong shows that intermediate levels of local activity were maintained while avoiding a large outbreak. At the very end of the study period, when China began to experience the re-introduction of a small number of cases from Europe and the United States, there is an apparent up-tick in transmission.</ns3:p><ns3:p> <ns3:bold>Conclusions:</ns3:bold> Although these results do not preclude future substantial increases in incidence, they suggest that after very intense social distancing (which resulted in containment), China successfully exited its lockdown to some degree. Elsewhere, movement data are being used as proxies for economic activity to assess the impact of interventions. The results presented here illustrate how the eventual decorrelation between transmission and movement is likely a key feature of successful COVID-19 exit strategies.</ns3:p>",journal-article,YES
2020,"Alexandra B Hogan, Britta L Jewell, Ellie Sherrard-Smith, et al.",YES,"Potential impact of the COVID-19 pandemic on HIV, tuberculosis, and malaria in low-income and middle-income countries: a modelling study",The Lancet Global Health,8,9,e1132-e1141,10.1016/s2214-109x(20)30288-6,,journal-article,YES
2020,"Hayley A Thompson, Natsuko Imai, Amy Dighe, et al.",YES,"SARS-CoV-2 infection prevalence on repatriation flights from Wuhan City, China",Journal of Travel Medicine,27,8,,10.1093/jtm/taaa135,,journal-article,YES
2020,"Patrick G. T. Walker, Charles Whittaker, Oliver J. Watson, et al.",YES,The impact of COVID-19 and strategies for mitigation and suppression in low- and middle-income countries,Science,369,6502,413-422,10.1126/science.abc0035,"<jats:title>Global prospects for COVID-19 control</jats:title> Lower-income countries have recognized the potential impact of coronavirus disease 2019 (COVID-19) from observing ongoing epidemics. Many have intervened quickly and early with measures to slow viral transmission, which may partly explain the low rates observed so far in these countries. Walker et al. calibrated a global model with country-specific data (see the Perspective by Metcalf et al. ). Despite the potentially protective effects of younger demographics, the closer intergenerational contact, limitations on health care facilities, and frequency of comorbidities in lower-income countries require sustained nonpharmaceutical interventions (NPIs) to avoid overwhelming health care capacity. As a result of strict NPIs, the protective effects of immunity will be reduced, and it will be important to improve testing capacity. Ensuring equitable provision of oxygen and—when they are ready—pharmaceutical interventions should be a global priority. Science , this issue p. <jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6502"" page=""413"" related-article-type=""in-this-issue"" vol=""369"" xlink:href=""10.1126/science.abc0035"">413</jats:related-article> ; see also p. <jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6502"" page=""368"" related-article-type=""in-this-issue"" vol=""369"" xlink:href=""10.1126/science.abd1668"">368</jats:related-article>",journal-article,YES
2020,"Benjamin Jeffrey, Caroline E. Walters, Kylie E. C. Ainslie, et al.",YES,Anonymised and aggregated crowd level mobility data from mobile phones suggests that initial compliance with COVID-19 social distancing interventions was high and geographically consistent across the UK,Wellcome Open Research,5,,170,10.12688/wellcomeopenres.15997.1,"<ns3:p><ns3:bold>Background:</ns3:bold> Since early March 2020, the COVID-19 epidemic across the United Kingdom has led to a range of social distancing policies, which have resulted in reduced mobility across different regions. Crowd level data on mobile phone usage can be used as a proxy for actual population mobility patterns and provide a way of quantifying the impact of social distancing measures on changes in mobility.</ns3:p><ns3:p> <ns3:bold>Methods:</ns3:bold> Here, we use two mobile phone-based datasets (anonymised and aggregated crowd level data from O2 and from the Facebook app on mobile phones) to assess changes in average mobility, both overall and broken down into high and low population density areas, and changes in the distribution of journey lengths.</ns3:p><ns3:p> <ns3:bold>Results:</ns3:bold> We show that there was a substantial overall reduction in mobility, with the most rapid decline on the 24th March 2020, the day after the Prime Minister’s announcement of an enforced lockdown. The reduction in mobility was highly synchronized across the UK. Although mobility has remained low since 26th March 2020, we detect a gradual increase since that time. We also show that the two different datasets produce similar trends, albeit with some location-specific differences. We see slightly larger reductions in average mobility in high-density areas than in low-density areas, with greater variation in mobility in the high-density areas: some high-density areas eliminated almost all mobility.</ns3:p><ns3:p> <ns3:bold>Conclusions: </ns3:bold>These analyses form a baseline from which to observe changes in behaviour in the UK as social distancing is eased and inform policy towards the future control of SARS-CoV-2 in the UK.</ns3:p>",journal-article,YES
2020,"Seth Flaxman, Swapnil Mishra, Axel Gandy, et al.",YES,Estimating the effects of non-pharmaceutical interventions on COVID-19 in Europe,Nature,584,7820,257-261,10.1038/s41586-020-2405-7,,journal-article,YES
2020,"James A. Hay, Amanda Minter, Kylie E. C. Ainslie, Justin Lessler, Bingyi Yang, Derek A. T. Cummings, Adam J. Kucharski, and Steven Riley",YES,An open source tool to infer epidemiological and immunological dynamics from serological data: serosolver,PLOS Computational Biology,16,5,e1007840,10.1371/journal.pcbi.1007840,,journal-article,YES
2018,"Kylie E C Ainslie, Meng Shi, Michael Haber, and Walter A Orenstein",YES,A Dynamic Model for Evaluation of the Bias of Influenza Vaccine Effectiveness Estimates From Observational Studies,American Journal of Epidemiology,188,2,451-460,10.1093/aje/kwy240,,journal-article,YES
2019,"Kylie E.C. Ainslie, Michael Haber, and Walter A. Orenstein",YES,Bias of influenza vaccine effectiveness estimates from test-negative studies conducted during an influenza pandemic,Vaccine,37,14,1987-1993,10.1016/j.vaccine.2019.02.036,,journal-article,YES
2019,"Kylie E. C. Ainslie, Michael Haber, and Walt A. Orenstein",YES,Challenges in estimating influenza vaccine effectiveness,Expert Review of Vaccines,18,6,615-628,10.1080/14760584.2019.1622419,,journal-article,YES
